guests,bedrooms,beds,bathrooms,price
2,0,1,1,232
4,2,2,2,165
3,0,2,1,124
4,1,3,1,207
4,2,2,1,165
4,2,3,1,308
8,3,4,2,264
1,1,1,2,146
6,2,3,1,124
4,2,2,2,259
2,1,1,1,160
5,3,3,2,199
5,2,2,2,580
1,0,1,1,125
2,1,1,1,179
7,3,3,2,115
3,2,2,1,175
1,1,1,1,110
3,1,1,1,150
6,3,3,1,237
4,2,2,1,162
4,2,2,2,170
3,1,1,1,206
4,1,2,1,300
8,4,6,2,650
2,1,1,1,115
4,1,1,1,143
2,1,1,1,250
2,1,1,1,101
4,1,2,1,172
2,1,2,1,115
5,2,2,2,357
8,3,4,2,324
5,2,2,2,345
16,8,12,6,1384
5,2,3,2,283
2,0,1,1,125
6,2,3,1,154
5,3,3,2,347
3,0,1,1,130
4,1,1,1,223
2,1,1,1,110
2,1,1,1,55
2,1,1,1,45
2,1,1,1,47
2,1,1,1,188
2,1,1,1,53
4,2,2,1,300
2,1,1,1,249
2,1,2,1,136
2,1,1,1,99
2,1,1,1,155
4,1,2,1,148
2,1,1,1,169
1,1,1,1,40
4,1,2,1,243
3,2,2,2,500
2,1,1,1,154
4,2,0,2,220
2,1,1,1,107
4,2,1,2,200
4,2,3,1,147
2,0,1,1,128
4,2,3,1,277
2,1,1,1,112
2,1,1,1,175
2,1,1,1,214
2,1,1,1,105
2,1,1,1,130
2,1,1,1,142
12,5,6,3,575
4,1,2,1,265
2,1,1,1,125
2,1,1,1,139
2,1,1,1,150
2,0,1,1,170
2,1,2,1,400
2,1,1,1,190
10,5,5,5,576
14,7,7,6,658
12,5,5,4,475
2,1,1,1,265
4,1,2,1,260
2,1,1,1,180
2,1,1,1,200
3,1,1,1,110
3,2,2,1,175
4,2,2,1,153
2,1,2,1,120
6,1,3,1,148
2,0,1,1,105
4,1,2,1,318
1,6,1,4,66
3,1,1,1,119
2,1,1,1,167
2,1,2,1,120
2,1,2,1,120
9,3,6,2,225
1,1,1,1,160
2,1,1,1,106
4,2,6,1,124
2,1,1,1,89
3,1,2,1,104
2,1,1,1,72
2,0,1,1,240
2,0,1,1,594
4,1,2,1,260
4,1,1,1,617
4,1,2,1,260
4,1,2,1,95
4,2,2,2,367
2,1,1,1,69
4,1,1,1,311
2,1,1,1,150
5,2,2,2,499
4,2,2,2,315
6,3,5,2,150
10,3,6,2,321
4,2,2,1,241
16,8,10,6,1071
4,1,2,1,500
2,1,1,2,88
4,2,2,1,165
1,1,1,1,39
4,2,2,1,127
4,1,2,1,302
1,1,1,1,40
2,1,1,1,185
2,1,2,1,126
4,2,2,1,108
6,3,3,1,304
2,0,2,0,200
2,1,1,1,178
2,1,1,1,142
2,0,1,1,145
6,3,3,2,270
3,1,2,1,100
2,1,1,1,57
6,3,3,2,864
4,2,2,2,447
5,2,2,2,818
2,1,1,1,165
1,1,1,1,120
2,1,1,1,165
6,2,3,2,279
4,2,2,1,175
4,2,2,1,366
4,2,2,1,109
6,3,3,2,230
2,1,1,1,121
5,2,2,2,329
2,1,1,1,160
2,1,1,1,214
5,2,3,2,321
2,1,1,2,54
2,1,1,2,168
2,1,1,1,149
2,1,1,1,319
4,1,2,1,267
2,1,1,1,234
4,2,2,1,300
2,1,1,2,50
2,1,1,1,155
2,1,1,1,130
2,1,1,1,160
7,4,4,2,504
6,3,4,1,200
2,1,1,1,104
2,1,1,1,999
3,1,1,1,295
4,2,2,1,102
4,2,2,1,120
2,1,1,1,74
2,1,1,1,122
8,3,6,3,379
5,2,4,1,250
2,1,1,1,125
8,4,4,5,1750
8,3,3,1,179
1,1,1,1,65
2,1,1,1,113
2,1,1,1,138
2,1,1,1,231
5,2,3,1,182
2,1,1,1,203
5,2,4,1,192
6,3,3,2,240
1,1,1,2,88
5,3,3,2,200
4,2,2,2,455
4,2,2,1,203
6,2,4,2,231
2,0,1,1,204
2,1,1,1,100
2,1,1,1,142
4,2,2,1,199
2,1,1,1,120
4,2,2,2,390
4,2,2,1,125
2,1,1,1,76
2,1,1,1,142
4,2,2,2,245
1,1,1,1,80
2,1,1,1,222
2,1,2,1,200
6,3,3,3,265
6,3,3,2,500
2,0,1,1,116
2,1,1,1,121
3,1,1,1,120
2,1,1,1,68
6,2,3,1,205
4,2,2,2,195
2,1,1,1,120
6,3,3,2,800
3,1,2,1,345
4,2,3,1,129
2,1,1,1,250
4,2,3,1,141
4,1,2,1,181
2,1,1,1,135
2,1,1,1,137
4,2,3,1,178
2,0,1,1,179
3,1,2,1,339
2,1,1,1,146
5,1,1,1,148
3,1,1,1,225
4,1,2,1,243
6,2,3,1,128
5,3,4,1,500
4,2,3,2,250
6,2,2,1,284
4,2,2,2,181
2,1,1,1,70
4,2,2,1,129
5,2,3,1,308
2,1,1,1,174
4,2,2,2,252
4,2,2,1,127
4,2,2,1,121
3,2,2,1,111
2,1,1,1,319
2,1,1,1,165
2,1,1,1,138
4,2,3,1,183
4,1,3,1,319
4,2,2,1,200
2,1,1,1,185
2,0,1,1,116
4,1,2,1,282
4,2,2,2,199
3,1,1,1,110
4,2,2,1,675
3,1,1,1,300
3,1,1,1,120
4,2,3,1,135
2,0,1,1,140
4,2,3,1,149
1,1,1,1,65
4,1,2,1,150
16,6,10,3,521
2,1,1,1,205
2,1,1,1,84
2,1,1,1,299
4,0,2,1,221
4,2,2,2,165
2,1,1,1,135
3,1,2,1,230
4,1,1,1,98
2,0,1,1,169
3,1,2,1,470
4,2,2,2,179
2,1,1,1,99
4,2,2,1,300
4,2,2,1,236
2,1,1,1,188
1,1,1,1,80
2,1,1,1,200
2,1,1,1,115
2,1,1,1,152
2,1,1,1,175
2,1,2,1,150
2,1,1,1,371
3,1,1,1,211
2,1,1,1,142
6,3,4,1,251
5,2,2,1,300
6,2,3,1,216
6,2,4,1,129
4,1,2,1,169
4,2,2,2,500
2,1,1,1,386
4,2,2,1,500
4,1,2,1,242
2,1,1,1,173
2,1,1,1,145
3,2,2,2,300
2,1,1,1,70
2,1,1,1,115
1,1,1,1,149
4,1,3,1,108
2,1,1,1,175
2,1,1,1,50
5,1,3,1,375
4,2,2,1,275
2,1,1,1,140
5,2,3,1,229
3,1,3,1,228
1,1,1,1,75
4,2,2,2,270
6,2,3,2,873
1,1,1,1,129
2,1,1,1,55
2,1,2,1,125
4,2,2,2,252
2,1,1,1,224
4,1,2,1,258
3,1,2,1,166
7,3,5,1,371
2,1,2,1,158
6,2,3,2,267
6,2,2,2,359
6,3,3,1,383
8,4,6,4,507
2,1,1,1,148
2,1,1,1,126
2,1,1,1,200
4,1,2,1,200
2,0,1,1,72
1,1,1,1,80
4,1,2,1,118
5,2,3,2,425
2,1,1,1,113
3,2,3,1,217
4,2,2,2,242
14,5,6,4,600
5,0,3,1,100
2,2,2,2,269
4,1,2,1,149
2,1,1,1,147
5,2,2,2,600
3,1,2,1,174
2,1,2,1,105
4,2,2,2,328
4,2,2,1,229
1,1,1,1,45
2,0,1,1,250
3,1,2,1,211
4,1,2,1,175
2,0,1,1,108
4,1,2,1,150
2,1,1,1,256
7,3,3,2,434
4,1,2,1,214
2,1,1,1,85
5,2,2,2,172
2,1,1,1,129
3,2,3,1,100
2,1,1,1,145
4,2,2,2,246
4,1,2,1,169
2,1,1,1,135
2,1,1,1,148
2,1,1,1,150
2,1,1,1,91
8,3,4,2,650
2,1,1,1,115
3,1,2,1,166
4,1,2,1,209
5,3,3,2,350
8,4,4,2,323
1,1,1,1,60
1,1,1,1,50
4,2,2,1,160
4,2,2,1,140
4,1,2,1,257
2,1,1,1,68
5,2,3,2,384
5,2,2,2,223
1,1,1,1,50
14,0,8,7,1428
6,2,3,1,214
2,0,1,1,221
3,1,2,1,256
4,2,2,2,255
6,3,3,2,349
6,3,3,2,260
2,1,1,1,391
8,4,4,3,209
3,1,1,1,150
2,1,1,1,206
3,2,2,2,399
2,1,1,1,281
2,1,1,1,255
3,2,2,1,469
4,1,2,1,196
2,1,1,1,72
4,2,2,2,168
4,2,2,2,300
5,2,2,2,518
3,1,2,1,130
4,1,2,1,214
2,1,2,1,189
12,6,6,3,193
3,1,2,1,152
4,1,2,1,319
2,0,1,1,61
4,2,3,2,197
3,1,1,1,220
8,4,3,2,100
6,2,3,2,473
7,2,4,2,530
3,1,1,1,189
2,1,1,1,123
2,1,1,1,93
6,3,3,2,63
5,3,3,2,455
4,2,3,1,150
2,1,1,1,312
4,2,2,1,142
2,1,2,1,125
4,3,3,2,192
4,1,3,1,231
4,1,1,1,275
2,0,1,1,69
3,1,2,1,149
1,0,1,1,200
4,1,2,1,282
4,2,2,1,118
2,1,1,1,131
12,5,6,2,600
3,0,1,1,183
10,5,5,3,1560
2,1,1,1,121
2,1,1,1,99
2,1,2,1,169
2,1,1,1,41
4,1,3,1,272
10,4,5,1,857
8,3,4,2,852
6,3,5,2,439
5,2,3,2,199
4,2,2,2,259
5,2,3,2,368
6,2,2,2,292
4,2,4,1,295
4,2,2,2,233
8,3,5,2,551
4,2,2,2,206
2,1,1,1,183
1,1,1,1,200
2,1,1,1,130
2,1,1,1,263
2,1,1,1,130
1,1,1,1,200
2,0,1,1,118
6,3,3,2,300
8,2,4,2,479
2,1,1,1,100
2,1,1,1,161
5,1,4,1,199
4,1,1,1,280
2,1,1,1,169
1,1,1,1,36
2,1,1,1,200
2,1,1,1,56
4,2,2,1,239
2,1,3,1,320
6,3,3,3,298
4,2,2,2,236
4,1,2,1,169
4,1,2,1,169
7,4,4,3,679
2,1,1,1,150
6,2,3,2,385
6,2,3,2,896
5,2,4,1,150
10,5,5,4,238
4,2,2,2,217
4,1,2,1,155
7,2,4,1,158
3,1,1,1,99
4,1,2,1,290
2,0,2,1,240
4,1,2,1,250
4,1,2,1,378
1,1,1,1,95
2,1,2,1,147
8,3,3,2,449
2,1,1,1,240
8,4,4,2,900
5,2,2,2,340
2,1,1,1,120
2,0,1,1,123
1,1,1,1,51
3,1,2,1,85
2,1,2,1,114
2,0,1,1,139
1,1,1,1,51
2,1,1,1,259
4,2,3,1,228
5,2,3,1,350
4,1,1,1,110
4,2,2,1,128
2,1,2,1,110
2,1,1,1,185
1,0,1,1,158
6,2,3,1,180
4,2,4,1,148
2,0,1,1,122
5,3,3,2,495
4,2,2,2,169
4,2,3,2,175
4,1,2,1,139
4,1,1,1,120
2,1,1,1,114
4,1,2,1,103
